Date,Day_temp
01/01/2012,-3.3
02/01/2012,-1.5
03/01/2012,1.8
04/01/2012,2.3
05/01/2012,0.5
06/01/2012,-0.1
07/01/2012,-1.6
08/01/2012,-4
09/01/2012,-1.4
10/01/2012,-3.3
11/01/2012,0.5
12/01/2012,1.3
13/01/2012,-1.5
14/01/2012,-4
15/01/2012,-4.9
16/01/2012,-4
17/01/2012,-5.1
18/01/2012,-3.8
19/01/2012,-2.9
20/01/2012,-3.7
21/01/2012,-3.5
22/01/2012,-5
23/01/2012,-7.4
24/01/2012,-7.6
25/01/2012,-10.2
26/01/2012,-11.6
27/01/2012,-12.6
28/01/2012,-14.5
29/01/2012,-14.5
30/01/2012,-14.8
31/01/2012,-16.4
01/02/2012,-17.1
02/02/2012,-22.1
03/02/2012,-22.9
04/02/2012,-24.8
05/02/2012,-22.9
06/02/2012,-17
07/02/2012,-12.7
08/02/2012,-12.3
09/02/2012,-13.5
10/02/2012,-15.3
11/02/2012,-18.2
12/02/2012,-10.9
13/02/2012,-8.8
14/02/2012,-4.8
15/02/2012,-7
16/02/2012,-5.7
17/02/2012,-6.9
18/02/2012,-8.5
19/02/2012,-3.9
20/02/2012,-1.5
21/02/2012,-0.2
22/02/2012,-0.7
23/02/2012,0.2
24/02/2012,-0.2
25/02/2012,-0.3
26/02/2012,-3.9
27/02/2012,-5.2
28/02/2012,-4.3
29/02/2012,0.5
01/03/2012,0.4
02/03/2012,1.4
03/03/2012,0.2
04/03/2012,-2.2
05/03/2012,-5.5
06/03/2012,-6.6
07/03/2012,-7.4
08/03/2012,-7.2
09/03/2012,-2.6
10/03/2012,1.2
11/03/2012,0.8
12/03/2012,5
13/03/2012,2.9
14/03/2012,0.3
15/03/2012,1.4
16/03/2012,2.2
17/03/2012,1.1
18/03/2012,2.9
19/03/2012,1.4
20/03/2012,2.3
21/03/2012,4.5
22/03/2012,7
23/03/2012,5.2
24/03/2012,2.6
25/03/2012,-0.3
26/03/2012,3.3
27/03/2012,3.7
28/03/2012,5.5
29/03/2012,2.8
30/03/2012,2.4
31/03/2012,-0.3
01/04/2012,0.8
02/04/2012,-1.1
03/04/2012,-1.9
04/04/2012,0.1
05/04/2012,3.7
06/04/2012,0.7
07/04/2012,-0.7
08/04/2012,-2.5
09/04/2012,1.7
10/04/2012,5.2
11/04/2012,7.3
12/04/2012,10.2
13/04/2012,9.8
14/04/2012,3.3
15/04/2012,8.3
16/04/2012,2.9
17/04/2012,2.5
18/04/2012,4.5
19/04/2012,7.2
20/04/2012,5.9
21/04/2012,6.4
22/04/2012,15
23/04/2012,10.4
24/04/2012,6.3
25/04/2012,12
26/04/2012,12.6
27/04/2012,13.8
28/04/2012,14.4
29/04/2012,9.2
30/04/2012,13.5
01/05/2012,10
02/05/2012,12.4
03/05/2012,8.5
04/05/2012,11.5
05/05/2012,12.1
06/05/2012,10.5
07/05/2012,9.5
08/05/2012,12
09/05/2012,16.7
10/05/2012,19.2
11/05/2012,15.8
12/05/2012,7.9
13/05/2012,9.4
14/05/2012,12.3
15/05/2012,14.3
16/05/2012,17.2
17/05/2012,13.9
18/05/2012,9
19/05/2012,14.7
20/05/2012,18.7
21/05/2012,20.6
22/05/2012,20.4
23/05/2012,15.5
24/05/2012,14
25/05/2012,17.7
26/05/2012,17.3
27/05/2012,18.4
28/05/2012,17.6
29/05/2012,13
30/05/2012,8.3
31/05/2012,10.6
01/06/2012,11.7
02/06/2012,8.7
03/06/2012,11.2
